Model,Company,scale,metric,value,per_query_value,per_query_unit
Grok 4,xAI,1B,households_MWh,16112.058683668742,17.64270425861727,Wh
Grok 4,xAI,50B,households_MWh,805602.9341834371,17.64270425861727,Wh
Grok 4,xAI,100B,households_MWh,1611205.868366874,17.64270425861727,Wh
Grok 4,xAI,1B,pools_kL,23.86705032105744,59.6676258026436,mL
Grok 4,xAI,50B,pools_kL,1193.352516052872,59.6676258026436,mL
Grok 4,xAI,100B,pools_kL,2386.705032105744,59.6676258026436,mL
Grok 4,xAI,1B,flights_tCO2e,113.20735232612748,6.792441139567649,gCO2e
Grok 4,xAI,50B,flights_tCO2e,5660.367616306374,6.792441139567649,gCO2e
Grok 4,xAI,100B,flights_tCO2e,11320.735232612747,6.792441139567649,gCO2e
GPT-5 mini (high),OpenAI,1B,energy_MWh,13813.07258054485,13.81307258054485,Wh
GPT-5 mini (high),OpenAI,50B,energy_MWh,690653.6290272424,13.81307258054485,Wh
GPT-5 mini (high),OpenAI,100B,energy_MWh,1381307.2580544848,13.81307258054485,Wh
GPT-5 mini (high),OpenAI,1B,water_kL,63786.79588087317,63.78679588087317,mL
GPT-5 mini (high),OpenAI,50B,water_kL,3189339.7940436583,63.78679588087317,mL
GPT-5 mini (high),OpenAI,100B,water_kL,6378679.588087317,63.78679588087317,mL
GPT-5 mini (high),OpenAI,1B,carbon_tCO2e,4696.444677385249,4.696444677385249,gCO2e
GPT-5 mini (high),OpenAI,50B,carbon_tCO2e,234822.23386926245,4.696444677385249,gCO2e
GPT-5 mini (high),OpenAI,100B,carbon_tCO2e,469644.4677385249,4.696444677385249,gCO2e
GPT-5 mini (high),OpenAI,1B,households_MWh,12614.67815574872,13.81307258054485,Wh
GPT-5 mini (high),OpenAI,50B,households_MWh,630733.907787436,13.81307258054485,Wh
GPT-5 mini (high),OpenAI,100B,households_MWh,1261467.8155748718,13.81307258054485,Wh
GPT-5 mini (high),OpenAI,1B,pools_kL,25.51471835234927,63.78679588087317,mL
GPT-5 mini (high),OpenAI,50B,pools_kL,1275.7359176174634,63.78679588087317,mL
GPT-5 mini (high),OpenAI,100B,pools_kL,2551.471835234927,63.78679588087317,mL
GPT-5 mini (high),OpenAI,1B,flights_tCO2e,78.27407795642081,4.696444677385249,gCO2e
GPT-5 mini (high),OpenAI,50B,flights_tCO2e,3913.7038978210408,4.696444677385249,gCO2e
GPT-5 mini (high),OpenAI,100B,flights_tCO2e,7827.4077956420815,4.696444677385249,gCO2e
GPT-5 (low),OpenAI,1B,energy_MWh,6650.824367502828,6.650824367502828,Wh
GPT-5 (low),OpenAI,50B,energy_MWh,332541.2183751414,6.650824367502828,Wh
GPT-5 (low),OpenAI,100B,energy_MWh,665082.4367502829,6.650824367502828,Wh
GPT-5 (low),OpenAI,1B,water_kL,30712.55681136127,30.71255681136127,mL
GPT-5 (low),OpenAI,50B,water_kL,1535627.8405680635,30.71255681136127,mL
GPT-5 (low),OpenAI,100B,water_kL,3071255.681136127,30.71255681136127,mL
GPT-5 (low),OpenAI,1B,carbon_tCO2e,2261.2802849509617,2.2612802849509617,gCO2e
GPT-5 (low),OpenAI,50B,carbon_tCO2e,113064.01424754808,2.2612802849509617,gCO2e
GPT-5 (low),OpenAI,100B,carbon_tCO2e,226128.02849509616,2.2612802849509617,gCO2e
GPT-5 (low),OpenAI,1B,households_MWh,6073.81220776514,6.650824367502828,Wh
GPT-5 (low),OpenAI,50B,households_MWh,303690.61038825696,6.650824367502828,Wh
GPT-5 (low),OpenAI,100B,households_MWh,607381.2207765139,6.650824367502828,Wh
GPT-5 (low),OpenAI,1B,pools_kL,12.28502272454451,30.71255681136127,mL
GPT-5 (low),OpenAI,50B,pools_kL,614.2511362272254,30.71255681136127,mL
GPT-5 (low),OpenAI,100B,pools_kL,1228.5022724544508,30.71255681136127,mL
GPT-5 (low),OpenAI,1B,flights_tCO2e,37.688004749182696,2.2612802849509617,gCO2e
GPT-5 (low),OpenAI,50B,flights_tCO2e,1884.4002374591348,2.2612802849509617,gCO2e
GPT-5 (low),OpenAI,100B,flights_tCO2e,3768.8004749182696,2.2612802849509617,gCO2e
GPT-5 mini (medium),OpenAI,1B,energy_MWh,5556.40723938765,5.55640723938765,Wh
GPT-5 mini (medium),OpenAI,50B,energy_MWh,277820.36196938256,5.55640723938765,Wh
GPT-5 mini (medium),OpenAI,100B,energy_MWh,555640.723938765,5.55640723938765,Wh
GPT-5 mini (medium),OpenAI,1B,water_kL,25658.694859029398,25.6586948590294,mL
GPT-5 mini (medium),OpenAI,50B,water_kL,1282934.7429514695,25.6586948590294,mL
GPT-5 mini (medium),OpenAI,100B,water_kL,2565869.4859029395,25.6586948590294,mL
GPT-5 mini (medium),OpenAI,1B,carbon_tCO2e,1889.1784613918007,1.8891784613918008,gCO2e
GPT-5 mini (medium),OpenAI,50B,carbon_tCO2e,94458.92306959006,1.8891784613918008,gCO2e
GPT-5 mini (medium),OpenAI,100B,carbon_tCO2e,188917.84613918007,1.8891784613918008,gCO2e
GPT-5 mini (medium),OpenAI,1B,households_MWh,5074.344510856302,5.55640723938765,Wh
GPT-5 mini (medium),OpenAI,50B,households_MWh,253717.22554281517,5.55640723938765,Wh
GPT-5 mini (medium),OpenAI,100B,households_MWh,507434.45108563016,5.55640723938765,Wh
GPT-5 mini (medium),OpenAI,1B,pools_kL,10.263477943611758,25.6586948590294,mL
GPT-5 mini (medium),OpenAI,50B,pools_kL,513.1738971805879,25.6586948590294,mL
GPT-5 mini (medium),OpenAI,100B,pools_kL,1026.3477943611758,25.6586948590294,mL
GPT-5 mini (medium),OpenAI,1B,flights_tCO2e,31.486307689863352,1.8891784613918008,gCO2e
GPT-5 mini (medium),OpenAI,50B,flights_tCO2e,1574.3153844931678,1.8891784613918008,gCO2e
GPT-5 mini (medium),OpenAI,100B,flights_tCO2e,3148.630768986336,1.8891784613918008,gCO2e
Gemini 2.5 Pro Vertex,Google,1B,energy_MWh,4236.730014130759,4.2367300141307584,Wh
Gemini 2.5 Pro Vertex,Google,50B,energy_MWh,211836.50070653792,4.2367300141307584,Wh
Gemini 2.5 Pro Vertex,Google,100B,energy_MWh,423673.0014130759,4.2367300141307584,Wh
Gemini 2.5 Pro Vertex,Google,1B,water_kL,5826.475496497255,5.826475496497255,mL
Gemini 2.5 Pro Vertex,Google,50B,water_kL,291323.7748248628,5.826475496497255,mL
Gemini 2.5 Pro Vertex,Google,100B,water_kL,582647.5496497256,5.826475496497255,mL
Gemini 2.5 Pro Vertex,Google,1B,carbon_tCO2e,978.6846332642052,0.9786846332642052,gCO2e
Gemini 2.5 Pro Vertex,Google,50B,carbon_tCO2e,48934.23166321026,0.9786846332642052,gCO2e
Gemini 2.5 Pro Vertex,Google,100B,carbon_tCO2e,97868.46332642052,0.9786846332642052,gCO2e
Gemini 2.5 Pro Vertex,Google,1B,households_MWh,3869.1598302564007,4.2367300141307584,Wh
Gemini 2.5 Pro Vertex,Google,50B,households_MWh,193457.99151282,4.2367300141307584,Wh
Gemini 2.5 Pro Vertex,Google,100B,households_MWh,386915.9830256401,4.2367300141307584,Wh
Gemini 2.5 Pro Vertex,Google,1B,pools_kL,2.330590198598902,5.826475496497255,mL
Gemini 2.5 Pro Vertex,Google,50B,pools_kL,116.5295099299451,5.826475496497255,mL
Gemini 2.5 Pro Vertex,Google,100B,pools_kL,233.0590198598902,5.826475496497255,mL
Gemini 2.5 Pro Vertex,Google,1B,flights_tCO2e,16.311410554403423,0.9786846332642052,gCO2e
Gemini 2.5 Pro Vertex,Google,50B,flights_tCO2e,815.570527720171,0.9786846332642052,gCO2e
Gemini 2.5 Pro Vertex,Google,100B,flights_tCO2e,1631.141055440342,0.9786846332642052,gCO2e
Gemini 2.5 Pro (AI Studio),Google,1B,energy_MWh,4162.503402218165,4.1625034022181655,Wh
Gemini 2.5 Pro (AI Studio),Google,50B,energy_MWh,208125.17011090828,4.1625034022181655,Wh
Gemini 2.5 Pro (AI Studio),Google,100B,energy_MWh,416250.3402218165,4.1625034022181655,Wh
Gemini 2.5 Pro (AI Studio),Google,1B,water_kL,5724.396880665166,5.724396880665165,mL
Gemini 2.5 Pro (AI Studio),Google,50B,water_kL,286219.84403325827,5.724396880665165,mL
Gemini 2.5 Pro (AI Studio),Google,100B,water_kL,572439.6880665165,5.724396880665165,mL
Gemini 2.5 Pro (AI Studio),Google,1B,carbon_tCO2e,961.538285912396,0.961538285912396,gCO2e
Gemini 2.5 Pro (AI Studio),Google,50B,carbon_tCO2e,48076.914295619805,0.961538285912396,gCO2e
Gemini 2.5 Pro (AI Studio),Google,100B,carbon_tCO2e,96153.8285912396,0.961538285912396,gCO2e
Gemini 2.5 Pro (AI Studio),Google,1B,households_MWh,3801.372970062252,4.1625034022181655,Wh
Gemini 2.5 Pro (AI Studio),Google,50B,households_MWh,190068.64850311255,4.1625034022181655,Wh
Gemini 2.5 Pro (AI Studio),Google,100B,households_MWh,380137.2970062252,4.1625034022181655,Wh
Gemini 2.5 Pro (AI Studio),Google,1B,pools_kL,2.2897587522660663,5.724396880665165,mL
Gemini 2.5 Pro (AI Studio),Google,50B,pools_kL,114.4879376133033,5.724396880665165,mL
Gemini 2.5 Pro (AI Studio),Google,100B,pools_kL,228.9758752266066,5.724396880665165,mL
Gemini 2.5 Pro (AI Studio),Google,1B,flights_tCO2e,16.025638098539936,0.961538285912396,gCO2e
Gemini 2.5 Pro (AI Studio),Google,50B,flights_tCO2e,801.2819049269967,0.961538285912396,gCO2e
Gemini 2.5 Pro (AI Studio),Google,100B,flights_tCO2e,1602.5638098539937,0.961538285912396,gCO2e
o4-mini (high),OpenAI,1B,energy_MWh,7237.426317578312,7.237426317578311,Wh
o4-mini (high),OpenAI,50B,energy_MWh,361871.31587891554,7.237426317578311,Wh
o4-mini (high),OpenAI,100B,energy_MWh,723742.6317578312,7.237426317578311,Wh
o4-mini (high),OpenAI,1B,water_kL,33421.40081653127,33.42140081653127,mL
o4-mini (high),OpenAI,50B,water_kL,1671070.0408265635,33.42140081653127,mL
o4-mini (high),OpenAI,100B,water_kL,3342140.081653127,33.42140081653127,mL
o4-mini (high),OpenAI,1B,carbon_tCO2e,2460.724947976626,2.460724947976626,gCO2e
o4-mini (high),OpenAI,50B,carbon_tCO2e,123036.24739883131,2.460724947976626,gCO2e
o4-mini (high),OpenAI,100B,carbon_tCO2e,246072.49479766263,2.460724947976626,gCO2e
o4-mini (high),OpenAI,1B,households_MWh,6609.52175121307,7.237426317578311,Wh
o4-mini (high),OpenAI,50B,households_MWh,330476.08756065345,7.237426317578311,Wh
o4-mini (high),OpenAI,100B,households_MWh,660952.175121307,7.237426317578311,Wh
o4-mini (high),OpenAI,1B,pools_kL,13.368560326612508,33.42140081653127,mL
o4-mini (high),OpenAI,50B,pools_kL,668.4280163306254,33.42140081653127,mL
o4-mini (high),OpenAI,100B,pools_kL,1336.8560326612508,33.42140081653127,mL
o4-mini (high),OpenAI,1B,flights_tCO2e,41.0120824662771,2.460724947976626,gCO2e
o4-mini (high),OpenAI,50B,flights_tCO2e,2050.604123313856,2.460724947976626,gCO2e
o4-mini (high),OpenAI,100B,flights_tCO2e,4101.208246627711,2.460724947976626,gCO2e
Grok 3 mini Reasoning (high) Fast,xAI,1B,energy_MWh,2674.219451788176,2.674219451788176,Wh
Grok 3 mini Reasoning (high) Fast,xAI,50B,energy_MWh,133710.97258940878,2.674219451788176,Wh
Grok 3 mini Reasoning (high) Fast,xAI,100B,energy_MWh,267421.9451788176,2.674219451788176,Wh
Grok 3 mini Reasoning (high) Fast,xAI,1B,water_kL,9044.21018594761,9.044210185947607,mL
Grok 3 mini Reasoning (high) Fast,xAI,50B,water_kL,452210.50929738046,9.044210185947607,mL
Grok 3 mini Reasoning (high) Fast,xAI,100B,water_kL,904421.0185947608,9.044210185947607,mL
Grok 3 mini Reasoning (high) Fast,xAI,1B,carbon_tCO2e,1029.5744889384473,1.0295744889384473,gCO2e
Grok 3 mini Reasoning (high) Fast,xAI,50B,carbon_tCO2e,51478.724446922366,1.0295744889384473,gCO2e
Grok 3 mini Reasoning (high) Fast,xAI,100B,carbon_tCO2e,102957.44889384472,1.0295744889384473,gCO2e
Grok 3 mini Reasoning (high) Fast,xAI,1B,households_MWh,2442.209545012033,2.674219451788176,Wh
Grok 3 mini Reasoning (high) Fast,xAI,50B,households_MWh,122110.47725060165,2.674219451788176,Wh
Grok 3 mini Reasoning (high) Fast,xAI,100B,households_MWh,244220.9545012033,2.674219451788176,Wh
Grok 3 mini Reasoning (high) Fast,xAI,1B,pools_kL,3.617684074379044,9.044210185947607,mL
Grok 3 mini Reasoning (high) Fast,xAI,50B,pools_kL,180.8842037189522,9.044210185947607,mL
Grok 3 mini Reasoning (high) Fast,xAI,100B,pools_kL,361.7684074379044,9.044210185947607,mL
Grok 3 mini Reasoning (high) Fast,xAI,1B,flights_tCO2e,17.159574815640788,1.0295744889384473,gCO2e
Grok 3 mini Reasoning (high) Fast,xAI,50B,flights_tCO2e,857.9787407820394,1.0295744889384473,gCO2e
Grok 3 mini Reasoning (high) Fast,xAI,100B,flights_tCO2e,1715.9574815640788,1.0295744889384473,gCO2e
Grok 3 mini Reasoning (high),xAI,1B,energy_MWh,2605.934191934503,2.605934191934503,Wh
Grok 3 mini Reasoning (high),xAI,50B,energy_MWh,130296.70959672517,2.605934191934503,Wh
Grok 3 mini Reasoning (high),xAI,100B,energy_MWh,260593.41919345027,2.605934191934503,Wh
Grok 3 mini Reasoning (high),xAI,1B,water_kL,8813.26943712249,8.81326943712249,mL
Grok 3 mini Reasoning (high),xAI,50B,water_kL,440663.47185612447,8.81326943712249,mL
Grok 3 mini Reasoning (high),xAI,100B,water_kL,881326.9437122489,8.81326943712249,mL
Grok 3 mini Reasoning (high),xAI,1B,carbon_tCO2e,1003.2846638947836,1.0032846638947837,gCO2e
Grok 3 mini Reasoning (high),xAI,50B,carbon_tCO2e,50164.23319473918,1.0032846638947837,gCO2e
Grok 3 mini Reasoning (high),xAI,100B,carbon_tCO2e,100328.46638947836,1.0032846638947837,gCO2e
Grok 3 mini Reasoning (high),xAI,1B,households_MWh,2379.848577109135,2.605934191934503,Wh
Grok 3 mini Reasoning (high),xAI,50B,households_MWh,118992.42885545676,2.605934191934503,Wh
Grok 3 mini Reasoning (high),xAI,100B,households_MWh,237984.8577109135,2.605934191934503,Wh
Grok 3 mini Reasoning (high),xAI,1B,pools_kL,3.525307774848996,8.81326943712249,mL
Grok 3 mini Reasoning (high),xAI,50B,pools_kL,176.26538874244977,8.81326943712249,mL
Grok 3 mini Reasoning (high),xAI,100B,pools_kL,352.53077748489955,8.81326943712249,mL
Grok 3 mini Reasoning (high),xAI,1B,flights_tCO2e,16.72141106491306,1.0032846638947837,gCO2e
Grok 3 mini Reasoning (high),xAI,50B,flights_tCO2e,836.070553245653,1.0032846638947837,gCO2e
Grok 3 mini Reasoning (high),xAI,100B,flights_tCO2e,1672.141106491306,1.0032846638947837,gCO2e
DeepSeek R1 (DeepSeek) [128k],DeepSeek,1B,energy_MWh,29078.235636566216,29.078235636566216,Wh
DeepSeek R1 (DeepSeek) [128k],DeepSeek,50B,energy_MWh,1453911.7818283108,29.078235636566216,Wh
DeepSeek R1 (DeepSeek) [128k],DeepSeek,100B,energy_MWh,2907823.5636566216,29.078235636566216,Wh
DeepSeek R1 (DeepSeek) [128k],DeepSeek,1B,water_kL,202410.16382885756,202.41016382885752,mL
DeepSeek R1 (DeepSeek) [128k],DeepSeek,50B,water_kL,10120508.191442875,202.41016382885752,mL
DeepSeek R1 (DeepSeek) [128k],DeepSeek,100B,water_kL,20241016.38288575,202.41016382885752,mL
DeepSeek R1 (DeepSeek) [128k],DeepSeek,1B,carbon_tCO2e,17446.94138193973,17.44694138193973,gCO2e
DeepSeek R1 (DeepSeek) [128k],DeepSeek,50B,carbon_tCO2e,872347.0690969866,17.44694138193973,gCO2e
DeepSeek R1 (DeepSeek) [128k],DeepSeek,100B,carbon_tCO2e,1744694.138193973,17.44694138193973,gCO2e
DeepSeek R1 (DeepSeek) [128k],DeepSeek,1B,households_MWh,26555.466334763667,29.078235636566216,Wh
DeepSeek R1 (DeepSeek) [128k],DeepSeek,50B,households_MWh,1327773.3167381834,29.078235636566216,Wh
DeepSeek R1 (DeepSeek) [128k],DeepSeek,100B,households_MWh,2655546.6334763668,29.078235636566216,Wh
DeepSeek R1 (DeepSeek) [128k],DeepSeek,1B,pools_kL,80.96406553154301,202.41016382885752,mL
DeepSeek R1 (DeepSeek) [128k],DeepSeek,50B,pools_kL,4048.20327657715,202.41016382885752,mL
DeepSeek R1 (DeepSeek) [128k],DeepSeek,100B,pools_kL,8096.4065531543,202.41016382885752,mL
DeepSeek R1 (DeepSeek) [128k],DeepSeek,1B,flights_tCO2e,290.78235636566217,17.44694138193973,gCO2e
DeepSeek R1 (DeepSeek) [128k],DeepSeek,50B,flights_tCO2e,14539.11781828311,17.44694138193973,gCO2e
DeepSeek R1 (DeepSeek) [128k],DeepSeek,100B,flights_tCO2e,29078.23563656622,17.44694138193973,gCO2e
Claude 4 Sonnet,Anthropic,1B,energy_MWh,7877.202572991916,7.877202572991916,Wh
Claude 4 Sonnet,Anthropic,50B,energy_MWh,393860.1286495958,7.877202572991916,Wh
Claude 4 Sonnet,Anthropic,100B,energy_MWh,787720.2572991916,7.877202572991916,Wh
Claude 4 Sonnet,Anthropic,1B,water_kL,41575.04600103312,41.57504600103312,mL
Claude 4 Sonnet,Anthropic,50B,water_kL,2078752.3000516563,41.57504600103312,mL
Claude 4 Sonnet,Anthropic,100B,water_kL,4157504.6001033126,41.57504600103312,mL
Claude 4 Sonnet,Anthropic,1B,carbon_tCO2e,2363.1607718975747,2.363160771897575,gCO2e
Claude 4 Sonnet,Anthropic,50B,carbon_tCO2e,118158.03859487874,2.363160771897575,gCO2e
Claude 4 Sonnet,Anthropic,100B,carbon_tCO2e,236316.0771897575,2.363160771897575,gCO2e
Claude 4 Sonnet,Anthropic,1B,households_MWh,7193.792304102207,7.877202572991916,Wh
Claude 4 Sonnet,Anthropic,50B,households_MWh,359689.6152051103,7.877202572991916,Wh
Claude 4 Sonnet,Anthropic,100B,households_MWh,719379.2304102207,7.877202572991916,Wh
Claude 4 Sonnet,Anthropic,1B,pools_kL,16.63001840041325,41.57504600103312,mL
Claude 4 Sonnet,Anthropic,50B,pools_kL,831.5009200206625,41.57504600103312,mL
Claude 4 Sonnet,Anthropic,100B,pools_kL,1663.001840041325,41.57504600103312,mL
Claude 4 Sonnet,Anthropic,1B,flights_tCO2e,39.386012864959575,2.363160771897575,gCO2e
Claude 4 Sonnet,Anthropic,50B,flights_tCO2e,1969.300643247979,2.363160771897575,gCO2e
Claude 4 Sonnet,Anthropic,100B,flights_tCO2e,3938.601286495958,2.363160771897575,gCO2e
Claude 4 Opus,Anthropic,1B,energy_MWh,11158.90500150806,11.158905001508062,Wh
Claude 4 Opus,Anthropic,50B,energy_MWh,557945.2500754031,11.158905001508062,Wh
Claude 4 Opus,Anthropic,100B,energy_MWh,1115890.500150806,11.158905001508062,Wh
Claude 4 Opus,Anthropic,1B,water_kL,58895.52597638044,58.89552597638044,mL
Claude 4 Opus,Anthropic,50B,water_kL,2944776.2988190223,58.89552597638044,mL
Claude 4 Opus,Anthropic,100B,water_kL,5889552.5976380445,58.89552597638044,mL
Claude 4 Opus,Anthropic,1B,carbon_tCO2e,3347.671500452418,3.3476715004524182,gCO2e
Claude 4 Opus,Anthropic,50B,carbon_tCO2e,167383.5750226209,3.3476715004524182,gCO2e
Claude 4 Opus,Anthropic,100B,carbon_tCO2e,334767.1500452418,3.3476715004524182,gCO2e
Claude 4 Opus,Anthropic,1B,households_MWh,10190.780823295034,11.158905001508062,Wh
Claude 4 Opus,Anthropic,50B,households_MWh,509539.04116475175,11.158905001508062,Wh
Claude 4 Opus,Anthropic,100B,households_MWh,1019078.0823295034,11.158905001508062,Wh
Claude 4 Opus,Anthropic,1B,pools_kL,23.558210390552176,58.89552597638044,mL
Claude 4 Opus,Anthropic,50B,pools_kL,1177.9105195276088,58.89552597638044,mL
Claude 4 Opus,Anthropic,100B,pools_kL,2355.8210390552176,58.89552597638044,mL
Claude 4 Opus,Anthropic,1B,flights_tCO2e,55.7945250075403,3.3476715004524182,gCO2e
Claude 4 Opus,Anthropic,50B,flights_tCO2e,2789.7262503770157,3.3476715004524182,gCO2e
Claude 4 Opus,Anthropic,100B,flights_tCO2e,5579.452500754031,3.3476715004524182,gCO2e
DeepSeek R1 (Azure),DeepSeek,1B,energy_MWh,7410.17059881136,7.410170598811359,Wh
DeepSeek R1 (Azure),DeepSeek,50B,energy_MWh,370508.529940568,7.410170598811359,Wh
DeepSeek R1 (Azure),DeepSeek,100B,energy_MWh,741017.0598811358,7.410170598811359,Wh
DeepSeek R1 (Azure),DeepSeek,1B,water_kL,34219.10922951102,34.21910922951102,mL
DeepSeek R1 (Azure),DeepSeek,50B,water_kL,1710955.461475551,34.21910922951102,mL
DeepSeek R1 (Azure),DeepSeek,100B,water_kL,3421910.922951102,34.21910922951102,mL
DeepSeek R1 (Azure),DeepSeek,1B,carbon_tCO2e,2519.458003595863,2.519458003595863,gCO2e
DeepSeek R1 (Azure),DeepSeek,50B,carbon_tCO2e,125972.90017979314,2.519458003595863,gCO2e
DeepSeek R1 (Azure),DeepSeek,100B,carbon_tCO2e,251945.80035958628,2.519458003595863,gCO2e
DeepSeek R1 (Azure),DeepSeek,1B,households_MWh,6767.279085672475,7.410170598811359,Wh
DeepSeek R1 (Azure),DeepSeek,50B,households_MWh,338363.9542836237,7.410170598811359,Wh
DeepSeek R1 (Azure),DeepSeek,100B,households_MWh,676727.9085672474,7.410170598811359,Wh
DeepSeek R1 (Azure),DeepSeek,1B,pools_kL,13.687643691804409,34.21910922951102,mL
DeepSeek R1 (Azure),DeepSeek,50B,pools_kL,684.3821845902204,34.21910922951102,mL
DeepSeek R1 (Azure),DeepSeek,100B,pools_kL,1368.7643691804408,34.21910922951102,mL
DeepSeek R1 (Azure),DeepSeek,1B,flights_tCO2e,41.99096672659771,2.519458003595863,gCO2e
DeepSeek R1 (Azure),DeepSeek,50B,flights_tCO2e,2099.548336329886,2.519458003595863,gCO2e
